,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
1471,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1008,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2176,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1341,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1658,2n Cycle,Together,20s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
660,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
2078,PhD,Together,60s,High,Children,Wine,No Fruits,Meat,Sweets,Store
710,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
115,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
588,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1116,2n Cycle,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
90,PhD,Married,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1880,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
891,Graduation,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
2201,PhD,Single,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
2028,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,Meat,Sweets,Web
1929,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1417,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
70,Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
196,Master,Divorced,40s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
2112,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1694,Master,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
843,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2001,Graduation,Divorced,60s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
203,Graduation,Married,20s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
443,2n Cycle,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
473,Master,Together,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1343,Graduation,Married,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Web
348,PhD,Widow,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
724,Master,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1141,Master,Married,50s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Store
795,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1434,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
225,Master,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1778,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
209,2n Cycle,Together,20s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1184,Master,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1699,Graduation,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
2077,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1012,PhD,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
