,Character,Sentence
1096,dumbledore,They are true.
1292,harry,Okay.
639,harry,"Dumbledore and the others, I mean?"
966,harry,Knight to E-5.
1549,harry,Not as long as those who remain are loyal to him.
1376,dumbledore,You must not be seen.
1445,harry,You first.
713,hermione,A month.
420,hermione,A boy named Neville's lost one
480,harry,Stop. Hold still!
986,snape,"How extraordinarily like your father you are, Potter."
1352,harry,Nick got the full blast of it.
588,harry,"Clearly, Hermione knows."
249,harry,"But, Hagrid, how am I to pay for all this?"
266,hermione,Harry.
1554,dumbledore,"Third place, Hufflepuff, with 352 points. "
735,hermione,Finite Incantatem!
618,snape,However the circumstances are suspicious.
990,snape,Turn out your pockets.
356,harry,We need to find the train.
1600,harry,"You see, sir, I couldn't help but notice certain things, certain..."
1427,harry,Hermione that's the he betrayed my parents.
241,hermione,Professor R.J. Lupin.
21,harry,Okay.
712,hermione,"After he saved you, he sent them off."
1128,hermione,I thought I just saw...Never mind.
680,hermione,He'd kill his best friend.
687,hermione,If you're talking about Malfoy...
72,harry,I never knew my parents either.
707,harry,What happened?
477,hermione,I hear Draco's father's furious.
122,harry,Yeah. Him I've heard of.
1369,harry,She died in a bathroom?
1352,hermione,"Listen Harry, they've captured Sirius."
361,harry,Excuse me. Excuse me.
1542,dumbledore,"Love, Harry, love. "
977,hermione,We'll have exactly one hour before we change back into ourselves.
401,snape,As it is...
235,hermione,"Honestly, Ron, it's not funny."
1197,harry,You're the reason they're dead!
428,hermione,"Of course, I've only tried a few simple ones myself but they've all worked for me."
950,harry,"You don't think it was me, professor?"
1581,dumbledore,Good night.
874,harry,He was their friend!
569,harry,That voice.
109,harry,Ron! Fred. George. 
1421,hermione,Fudge has to see Buckbeak before we steal him.
1436,hermione,Why aren't we leaving?
754,harry,What's this rubbish?
574,harry,It's moving.
1694,hermione,"Oh, no."
584,snape,And what is the difference between monkshood and wolfsbane?
651,snape,Any theories on how he managed it?
1109,harry,It'll be fine. It'll be okay.
1574,harry,"Ginny, you need to get yourself out."
980,hermione,Cheers.
1527,harry,It'll just be me and him.
1408,harry,You're running away?
1153,hermione,It had to be a Gryffindor.
1518,harry,It was my dad conjured the Patronus.
649,snape,To enter Hogwarts Castle on one's own completely undetected?
